cancer_loc,sex,race,survival_time,stage,survival_percent
4,2,2,2,2,82.1
4,2,2,2,3,30.9
4,2,2,3,1,90.8
4,2,2,3,2,75.9
4,2,2,3,3,19.3
4,2,2,4,1,89.1
4,2,2,4,2,71.2
4,2,2,4,3,14.4
4,2,2,5,1,87.5
4,2,2,5,2,66.8
4,2,2,5,3,10.9
5,1,1,0,1,100
5,1,1,0,2,100
5,1,1,0,3,100
5,1,1,1,1,63.1
5,1,1,1,2,37.3
5,1,1,1,3,15.5
5,1,1,2,1,47.4
5,1,1,2,2,22.3
5,1,1,2,3,7.1
5,1,1,3,1,38.9
5,1,1,3,2,16.2
5,1,1,3,3,4.2
5,1,1,4,1,32.9
5,1,1,4,2,12.7
5,1,1,4,3,3.1
5,1,1,5,1,29.3
5,1,1,5,2,10.8
5,1,1,5,3,2.4
5,1,2,0,1,100
5,1,2,0,2,100
5,1,2,0,3,100
5,1,2,1,1,57.4
5,1,2,1,2,28.8
5,1,2,1,3,11.8
5,1,2,2,1,42.3
5,1,2,2,2,15.1
5,1,2,2,3,5.1
5,1,2,3,1,33.3
5,1,2,3,2,10.2
5,1,2,3,3,2
5,1,2,4,1,27.2
5,1,2,4,2,6.8
5,1,2,4,3,1.3
5,1,2,5,1,22.6
5,1,2,5,2,6.1
5,1,2,5,3,1.3
5,2,1,0,1,100
5,2,1,0,2,100
5,2,1,0,3,100
5,2,1,1,1,60.4
5,2,1,1,2,40.2
5,2,1,1,3,19.3
5,2,1,2,1,46.2
5,2,1,2,2,23.5
5,2,1,2,3,9.5
5,2,1,3,1,37.9
5,2,1,3,2,17.3
5,2,1,3,3,6.8
5,2,1,4,1,33.8
5,2,1,4,2,14.1
5,2,1,4,3,6.1
5,2,1,5,1,30
5,2,1,5,2,12.4
5,2,1,5,3,5.5
5,2,2,0,1,100
5,2,2,0,2,100
5,2,2,0,3,100
5,2,2,1,1,63.6
5,2,2,1,2,32.2
5,2,2,1,3,19.2
5,2,2,2,1,50.1
5,2,2,2,2,17.1
5,2,2,2,3,9.9
5,2,2,3,1,39.5
5,2,2,3,2,11.8
5,2,2,3,3,5.8
5,2,2,4,1,32.1
5,2,2,4,2,11.3
5,2,2,4,3,3.2
5,2,2,5,1,29.1
5,2,2,5,2,7.2
5,2,2,5,3,3.2
7,1,1,0,1,100
7,1,1,0,2,100
7,1,1,0,3,100
7,1,1,1,1,51.8
7,1,1,1,2,50.4
